Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001,Male,Yes,0,Graduate,No,5000,1500,120,360,1,Urban,Y
LP002,Female,No,0,Graduate,No,3000,0,80,360,1,Rural,N
LP003,Male,Yes,1,Graduate,No,4500,1000,100,360,1,Urban,Y
LP004,Female,No,0,Not Graduate,No,2500,500,70,360,0,Rural,N
LP005,Male,Yes,2,Graduate,Yes,6000,2000,150,360,1,Semiurban,Y
LP006,Male,No,0,Graduate,No,3500,0,90,360,0,Rural,N
LP007,Female,Yes,1,Graduate,No,4000,1200,110,360,1,Urban,Y
LP008,Male,Yes,0,Not Graduate,No,2800,800,75,360,0,Rural,N
LP009,Male,Yes,3,Graduate,Yes,7000,2500,180,360,1,Urban,Y
LP010,Female,No,0,Graduate,No,3200,500,85,360,1,Semiurban,Y
LP011,Male,No,1,Not Graduate,No,2700,0,65,360,0,Rural,N
LP012,Female,Yes,2,Graduate,No,4800,1500,130,360,1,Urban,Y
LP013,Male,Yes,0,Graduate,No,5200,1000,125,360,1,Semiurban,Y
LP014,Female,No,0,Not Graduate,Yes,2200,500,60,360,0,Rural,N
LP015,Male,Yes,2,Graduate,No,6500,2000,160,360,1,Urban,Y
LP016,Female,No,1,Graduate,No,3800,0,95,360,0,Rural,N
LP017,Male,Yes,0,Graduate,Yes,5500,1800,140,360,1,Semiurban,Y
LP018,Female,Yes,1,Not Graduate,No,2900,700,80,360,0,Rural,N
LP019,Male,No,0,Graduate,No,4200,1000,100,360,1,Urban,Y
LP020,Female,No,0,Graduate,No,2600,0,70,360,0,Rural,N
